X,Y,Z,Roll,Pitch,Yaw
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000000,0.0000000,0.0000000,-0.0000000,0.0000000,-0.0000000
0.0000033,0.0000507,-0.0041647,179.9500732,179.9828644,179.9994812
-0.0001256,-0.0002238,-0.0041715,90.2597122,157.3655396,-163.0206451
-0.0001720,-0.0003070,-0.0042203,89.9742432,157.4843140,-162.8598480
-0.0001766,-0.0001854,-0.0036039,178.5256653,5.0345941,38.4780350
0.0000676,0.0005540,-0.0037718,89.7597580,-17.0659237,23.4683990
0.0000264,0.0003465,-0.0046736,179.6186523,179.9171448,-178.3940430
-0.0003674,-0.0006022,-0.0044537,90.1115646,155.8551178,-160.0680237
-0.0003659,-0.0003119,-0.0033014,176.2543335,6.9034882,44.9958458
0.0000317,0.0008461,-0.0035786,89.5321655,-14.8696842,28.6558132
-0.0000536,0.0005585,-0.0049371,1.2742516,3.3754914,5.8291574
-0.0006290,-0.0007416,-0.0045896,90.5908966,152.2290955,-157.2850800
-0.0006759,-0.0003597,-0.0031394,176.4387360,12.2162933,46.8899040
-0.0002446,0.0011346,-0.0035283,88.9649124,-7.8384004,29.3588886
-0.0004010,0.0011898,-0.0034742,88.4310989,-5.1779833,30.5649014
-0.0006740,0.0008856,-0.0051084,5.1955609,16.0934086,7.2546163
-0.0015861,-0.0004546,-0.0046808,91.6599121,132.1903992,-153.3893433
-0.0020156,0.0002576,-0.0032560,158.5369873,38.7159538,63.7180367
-0.0023340,0.0015403,-0.0040327,80.5819626,39.8552704,44.8086624
-0.0031103,0.0008162,-0.0043845,51.2730865,81.6026993,-13.2758722
-0.0027795,0.0013310,-0.0034786,117.8681412,45.5896645,-163.1580353
-0.0021011,0.0017311,-0.0046171,46.6646042,28.3128204,170.7719879
-0.0021851,0.0002893,-0.0051553,137.2216949,130.3427124,-7.1158037
-0.0022281,-0.0002621,-0.0036614,16.7700539,137.3547668,39.8188744
-0.0015008,0.0011102,-0.0030105,115.6816330,11.0894194,-146.6348114
-0.0009983,0.0016733,-0.0046853,35.9371300,12.5307589,-177.0001221
-0.0008520,0.0016259,-0.0047514,33.9970627,6.2200608,-178.6411896
-0.0013946,-0.0001313,-0.0053644,127.9904099,145.0256195,3.3950489
-0.0017074,-0.0006511,-0.0035343,20.9851551,147.6825256,40.5024033
-0.0010350,0.0010372,-0.0028733,116.9304352,2.6226587,-144.0968170
-0.0005878,0.0016230,-0.0047442,33.6453247,5.2073979,-174.8159027
